wikidata_id,orgid,organization,code,division,department,email
,127119,Zhejiang Medical University,ZMU,,Pharmacy Department,
,127120,Zhejiang Museum of Natural History,ZM,,,
,127113,Zhejiang Academy of Medical Sciences,ZJMA,,,
,124654,Guangxi Forestry Institute,GXFI,,,
,125082,Kunming Edible Fungi Institute,KEF,,,
,125084,"Kunming Institute of Ecology, Academia Sinica",KUNE,,,
,127056,Xian Institute of Lacquer,LAC,,,
,125189,Lushan Botanical Garden,LBG,,,
,124456,Economic Forestry Institute of Liaoning Province,LEF,,,
,125918,Shanxi Normal University,LINF,,Biology Department,
,125150,Liaoning Academy of Forestry,LNAF,,,
,125151,Liaoning College of Traditional Chinese Medicine,LNCM,,,
,125152,Liaoning Normal University,LNNU,,Biology Department,
,125149,Liangshan Institute for Drug Control,LSDC,,,
,125103,Laiyang Agricultural College,LYAC,,Department of Basic Courses,
,125115,"Lanzhou Institute of Animal Science, Chinese Academy of Agricultural Sciences",LZAH,,,
,125116,"Lanzhou Institute of Desert Research, Academia Sinica",LZD,,,
,125117,Lanzhou University,LZU,School of Life Sciences,,
,127057,Xiaolongshan Forestry Experiment Bureau,MJS,Maijishan Botanic Garden,,
,124607,Gansu Institute of Desert Control,MQ,Minqin Botanical Garden of Desert Plants,,
,125247,Mianyang Institute for Drug Control,MYDC,,,
,125418,Nanjing University,N,School of Life Science,Biology Department,
,125421,Nantong Teachers College,NAN,,Biology Department,
,124849,"Institute of Botany, Jiangsu Province and Chinese Academy of Sciences",NAS,,,
,125414,Nanjing Agricultural University,NAU,,Department of Plant Science,
,125532,Ningde Teachers College,NDTC,,Biology Department,
,125544,Northeastern Forestry University,NEFI,,Forestry Department,
,125547,Northeast Normal University,NENU,,Biology Department,
,125415,Nanjing Forestry University,NF,,Forest Resources and Environment,
,125417,Nanjing Normal University,NJNU,,Biology Department,
,125419,Nankai University,NKU,,Biology Department,
,124819,Inner Mongolia Agricultural University,NMAC,College of Ecology and Environment,Department of Pratacultural Science,
,124820,Inner Mongolia Forestry College,NMFC,,Desert Control and Utilization Department,
,127118,Zhejiang Institute of Traditional Chinese Medicine,NMPG,National Medicinal Plants Seedbank,,
,124822,Inner Mongolia Normal University,NMTC,,Biology Department,
,125420,Nanning Arboretum,NNA,,,
,125416,"Nanjing Institute of Geology and Paleontology, Academia Sinica",NPA,Paleobotany Laboratory,,
,125568,Northwest University of Agriculture Forestry Science & Technology,NWFC,Forest Resource College,,
,125564,Northwest Normal University,NWTC,Institute of Botany,,
,125565,Northwest Normal University,NWUB,,Biology Department,
,125534,Ningxia Agricultural College,NXAC,,,
,125533,Ningxia Academy of Agriculture and Forestry Sciences,NXF,Institute of Forestry,,
,125423,Nanyue Arboretum,NYA,,,
,125666,Peking University,PEY,,Biology Department,
,125588,Ocean University of Qingdao,QD,,Marine Biology Department,
,125740,Qinghai Institute for Drug Control,QDC,,,
,124858,Qinghai Academy of Agriculture and Forestry Sciences,QF,Institute of Forestry,,
,124612,General Grassland Station of Qinghai,QG,,,
,125743,Qiqihar Teachers College,QTC,,Biology Department,
,125741,Qinghai University,QUA,,Agriculture Department,
,125742,Qingyang Teachers College,QYTC,,Biology Department,
,125153,Liaoning Reed Science Institute,RE,,,
,125897,Shaanxi Normal University,SANU,,Biology Department,
,125948,Sichuan Agricultural University,SAU,,Department of Basic Courses,
,125949,Sichuan Agricultural University,SAUF,,Forestry Department,
,125950,Sichuan Agricultural University,SAUT,Triticeae Research Institute,,
,125945,Sichuan Academy of Forestry,SCFI,Forest Plant Taxonomy Division,,
,125954,Sichuan Normal University,SCNU,,Biology Department,
,126004,"South China Sea Institute of Oceanology, Academia Sinica",SCSG,Shantou Marine Plant Experiment Station,,
,125898,Shandong Agricultural University,SDAU,,,
,125900,Shandong College of Traditional Chinese Medicine,SDCM,,,
,125901,Shandong Forestry Institute,SDFI,,,
,125902,Shandong Forestry School,SDFS,,,
,125903,Shandong Institute of Traditional Chinese Medicine and Materia Medica,SDMP,,,
,126009,Southeastern Shanxi Teachers School,SES,,Biochemistry Department,
,125907,Shanghai Botanical Garden,SG,,,
,125912,Shanghai Teachers College of Technology,SHCT,,Biology Department,
,125908,Shanghai Institute for Drug Control,SHDC,,,
,125911,Shanghai Museum of Natural History,SHM,,Botanical Department,
,125951,Sichuan Forestry School,SIFS,,,
,125956,Sichuan Teachers College,SITC,,Biology Department,
,124276,Chongqing Municipal Academy of Chinese Materia Medica,SM,,,
,125962,Simao Forestry Bureau,SMAO,,,
,125961,Simao District National Medical and Pharmaceutical Institute,SMN,,,
,126003,South China Normal University,SN,,Biology Department,
,125953,Sichuan Institute of Natural Resources,SR,,,
,125914,Shangrao Forestry Institute,SRF,,,
,125919,Shanxi School of Chinese Materia Medica,SSMM,,,
,126095,Suzhou Teachers College,ST,,Biology Department,
,126025,Southwest Agricultural University,SWAU,,Horticulture Department,
,126030,Southwest Teachers University,SWCTU,,Biology Department,
,126028,Southwest Forestry College,SWFC,,,
,125916,Shanxi Agricultural University,SXAU,,Forestry Department,
,125896,Shaanxi Institute for Drug Control,SXDC,,,
,125895,Shaanxi Academy of Traditional Chinese Medicine and Pharmacology,SXMP,,,
,125920,Shanxi University,SXU,,Biology Department,
,125929,Shenyang Municipal Academy of Landscape Gardening,SY,,,
,125926,Shenyang Agricultural University,SYAU,Biological Science and Technology College,,
,125927,Shenyang Agricultural University,SYAUF,,Forestry Department,
,127124,Zhongshan (Sun Yatsen) University,SYS,Botanical Division,Biology Department,
,124867,Institute of Pharmaceutical Research,TIPR,State Pharmaceutical Administration,,
,126154,Tianjin Municipal Institute for Drug Control,TJDC,,Department of Traditional Chinese Medicine,
,126153,Tianjin Institute of Medical and Pharmaceutical Sciences,TJMP,,,
,126172,Tonghua Teachers College,TONG,,Biology Department,
,126199,Turpan Eremophytes Botanical Garden,TURP,,,
,125915,Shangxi Forestry Institute,TYF,,,
,127043,Wolong Nature Reserve,WL,,,
,125569,Northwest University,WNU,,Biology Department,
,127052,Wuhu School of Traditional Chinese Medicine,WUH,,,
,125559,Northwestern Institute of Botany,WUK,,,
,126976,Wanxian Institute of Drug Control,WXDC,,,
,127059,Xinjiang Academy of Animal Sciences,XAG,Grassland Research Institute,,
,127055,Xian Botanical Garden,XBGH,,,
,127058,Xichang Agricultural School,XIAS,,,
,126026,Southwestern Guizhou Institute of Forestry,XIN,,,
,127061,Xinjiang Agricultural University,XJA,Faculty of Forestry,,
,127062,Xinjiang Institute for Drug Control,XJDC,,,
,127060,Xinjiang Academy of Forestry Sciences,XJFA,,,
,127066,Xinjiang Normal University,XJNU,,Biology Department,
,127067,Xinjiang University,XJU,,Biology Department,
,127068,Xinjiang University,XJUG,,Geography Department,
,127065,Xinjiang Medical College,XM,,Pharmacy Department,
,127064,Xinjiang Institute of Traditional Chinese and Minorities Medicine,XTNM,,,
,127069,Xinyang Teachers College,XYTC,,Biology Department,
,126157,Tibet Plateau Institute of Biology,XZ,,,
,126156,Tibet Institute for Drug Control,XZDC,,,
,127071,Xuzhou Teachers College,XZTC,,Biology Department,
,124565,"Forest Survey and Design Institute, Forestry Administrative Bureau of Daxinganling",YAK,,,
,127086,Yibin Institute for Drug Control,YBDC,,,
,127097,Yunnan College of Education,YCE,,Biology Department,
,127099,Yunnan Institute for Drug Control,YDC,,,
,127076,Yanbei Forestry Institute,YF,,,
,127098,Yunnan Forestry School,YFS,,,
,127100,Yunnan Institute of Pharmacology,YIM,,,
,123908,Agricultural Research Council-Range and Forage Institute,ROO,,,
,126917,Upper Silesian Museum,MGS,,Department of Natural History,
,125460,National Museum of Natural Science,TNM,,Botany Department,
,125448,National Chung Hsing University,TCF,,Forestry Department,
,126110,Taiwan Museum,TAIM,,,
,125473,National Sun Yat-Sen University,SYSU,,Department of Biological Sciences,
,126108,Taiwan Forestry Research Institute,HCT,Heng-Chun Tropical Botanic Garden,,
,125446,National Chiayi Agricultural College,CHIA,,Forestry Department,
,125887,Seoul National University,NPRI,Natural Products Research Institute,,
,125092,Kyung-Nam University,KNUH,,Biology Department,
,125091,Kyung Hee University,KHUS,Laboratory of Plant Systematics,Biology Department,
,124763,Hongnung Arboretum,KFI,Forest Research Institute,Silviculture Department,
,124274,Chonbuk National University,JNU,College of Natural Sciences,Faculty of Biological Sciences,
,124999,Jeonju University,JJU,School of Biological Science,,
,124697,Hannam University,HNHM,,Department of Biology,
,124681,Gyeongsang National University,GNUC,,Biology Department,
,124282,Chungbuk National University,CBU,College of Natural Science,School of Life Science,
,123699,Andong National University,ANH,,School of Bioresource Science,gychung@andong.ac.kr
,127116,Zhejiang Forestry Institute,ZJFI,,Bamboo Department,
,127115,Zhejiang Forestry College,ZJFC,,Forestry Department,
,127112,Zhanjiang Teachers College,ZHAN,,Biology Department,
,127117,Zhejiang Institute for Drug Control,ZDC,,,
,127123,Zhelimu College of Animal Husbandry,ZCA,,Range Science Department,
,127114,Zhejiang Agricultural University,ZAU,,,
,127105,Yuzhou University,YZU,,,
,127104,Yuxi District Institute for Drug Control,YXDC,,,
,127103,Yunnan University,YUKU,,Biology Department,
,127101,Yunnan Normal University,YNUB,,Biology Department,
,127095,Yulin Institute of Desert Control Research,YLD,,,
,125567,Northwest Sci-tech University of Agriculture and Forestry,YL,Institute of Forest Ecology and Biodiversity Conservation,,
,126406,Universidad Nacional de La Plata,LPS,Museo de La Plata,Instituto de Botánica Carlos Spegazzini,speg_lps@museo.fcnym.unlp.edu.ar
,124522,"Fishlake National Forest, USDA Forest Service",FNFR,,,
,124767,Hornonitrianske muzeum,HMP,,Department of Natural History,
,124922,Instituto Nacional de Tecnología Agropecuaria,ANGU,Estación Experimental Agropecuaria Anguil,,
,124542,Forest Research and Management Institute,BUCF,,,
,127026,Whittier College,WHIT,,Biology Department,
,125220,Marlborough College,MACO,,Biology Department,
,124633,Gotlands Fornsal,VI,,,
,124926,Instituto Patagónico de Ciencias Naturales,IPCN,,,
,126398,Universidad Nacional de Entre Ríos,ERA,Facultad de Ciencias Agropecuarias,Botánica Sistemática,botanica@fca.uner.edu.ar
,124896,Instituto de Ecología y Sistemática,HAC,,,ledisregalado@ecologia.cu
,125320,Musée national d'histoire naturelle,LUX,,,
,125872,Savaria Museum,SAMU,,Department of Natural History,balogh.lajos@savariamuseum.hu
,150708,Sofyivka National Dendrological Park,SOF,,Department of Herbaceous Plants of the Natural and Cultural Flora,
,240606,Lincoln Memorial University,LNCN,,,
,161728,Universiti Sains Malaysia,USMP,,,
,251458,Karachay-Circassian State University,KCSU,,,
,171700,Shahid Beheshti University,HSBU,Faculty of Biological Sciences,Department of Botany,A_mehrabian@sbu.ac.ir
,246847,National Science Museum,KSM,,,smlee0988@korea.kr
,245705,Universidade Federal de Santa Catarina,CTBS,,,jfpastore@hotmail.com
,251194,Carson City Field Office – Bureau of Land Management,BLMCAR,,,
,250836,Mendocino College Coast Center,MCCC,,,tsholars@mendocino.edu
,156113,Shivaji University,SUK,,Department of Botany,sryadavdu@rediffmail.com
,241497,Sree Narayana Mangalam College,SNMH,,Department of Botany,"snmcherbarium@gmail.com
snmcbotany@yahoo.com"
,177730,University of Warmia and Mazury,OLS,Faculty of Biology and Biotechnology,Department of Botany and Nature Protection,
,171711,Université de Kisangani,KIS,Faculté  des  Sciences,Département  de  Biologie,
,242692,"Bureau of Land Management, Eagle Lake Field Office",ELH,,,vlockie@blm.gov
,176081,"Ural Federal University  ""B. N.  Yeltsin""",UFU,Institute of Natural Sciences,,Victor.Mukhin@usu.ru
,159896,Institute of Biology,MKNDC,,Faculty of Natural Sciences,zlevkov@iunona.pmf.ukim.edu.mk
,172670,Université. Gamal Abdel Nasser de Conakry (UGANC),HNG,Dépt. Biologie,,nationalherbierguine@yahoo.fr
,225178,Banasthali University,BURI,,Department of Bioscience and Biotechnology,
,156232,Sts. Cyril and Methodius University,MCF,Faculty of Natural Science and Mathematics,,mitkok@pmf.ukim.mk
,242232,California State University Channel Islands,CSUCI,,,Sean.Anderson@csuci.edu
,177755,Wichita State University,WICH,,,james.beck@wichita.edu
,247403,Fundación Universidad del Norte,UNO,,,ozamora@uninorte.edu.co
,172857,Sulaimania University,SUFA,Faculty of Agriculture,,Samanchnaraye@gmail.com
,243989,North Carolina Zoological Park,NCZP,,,nell.allen@nczoo.org
,159533,"Lycée Félix Esclangon, Région PACA",FEN,,,
,241831,Universidad Nacional de Rio Cuarto,RCVC,,Departamento de Ciencias Naturales,
,244067,Montana State University Northern,MSUNH,,,terri.hildebrand@msun.edu
,174420,Universidad Autónoma de Chiriquí,UCH,,,www.unachi.ac.pa
,178117,Kakatiya University,KUW,Department of Botany,,vsraju.kuw@gmail.com
,159211,Institute of Biology,MKNH,Faculty of Natural Sciences,,vladom@pmf.ukim.mk
,158605,Bogdan Khmel'nysckyi State Pedagogical University of Melitopol',MELIT,,Botany Department,vkolomiychuk@ukr.net
,165544,Luhansk National Agrarian University,LNAU,,,viktoriakharchenko@rambler.ru
,172673,Universidad Autónoma de Madrid,MAUAM,,,vicente.mazimpaka@uam.es
,243792,University of Santo Tomas,USTH,Thomas Aquinas Research Center (TARC),3rd Floor Research Center for the Natural and Applied Sciences,ustherbarium@gmail.com
,163933,Institut d'Economie Rurale,IER,Centre Régional de Recherche Agronomique (CRRA),,"usfh2010@gmail.com /
sanogohot@hotmail.com"
,244321,University of  Kerala,KUBH,,Department of Botany,unikerbot@rediffmail.com
,160919,The University of Newcastle,DMHN,School of Environmental and Life Sciences,,Tina.offler@newcastle.edu.au
,243572,Association des Naturalistes de la Vallée du Loing et du Massif de Fontainebleau,ANVL,,,thurelle@wanadoo.fr
,241829,Point Pelee National Park of Canada,PPNP,,,Tammy.dobbie@pc.gc.ca
,243570,"Societe des Lettres, Sciences et Arts de l’Aveyron",SLA,,,soc.lettres.aveyron@orange.fr
,244826,Museum d'Histoire Naturelle de Chambéry,CHBY,,,shns-museum-de-chambery@wanadoo.fr
,223638,Jardin Botanique d'Eala,EALA,,,Salvator.ntore@br.fgov.be
,240369,Blodgett Forest Research Station,BFRS,,,ryork@berkeley.edu
,156466,University of Nebraska at Kearney,NEBK,,Department of Biology,rothenberges@unk.edu
,174071,"U.S. Forest Service, Bitterroot National Forest",BNFH,,,robintaylordavenport@fs.fed.us
,177455,Lehigh University,LEH,,,rkb205@lehigh.edu
,225904,Wilton Garden Club,WGCH,,,rennipsj@gmail.com
,165535,Ayurveda Regional Research Institute,ARRI,,,"regionals06@yahoo.com
ccrasita@yahoo.com"
,249009,University of Antananarivo,DBEV,,Department of Biology and Plant Ecology,rakotoarinivo@outlook.com
,251160,Augustana College,AUGIE,,Department of Biology,rafaelmedina@augustana.edu
,155312,Fundação Universidade Estadual do Ceará,HERT,Coordenação Laboratory of Botânica,,rabelomoreira@yahoo.com.br
,226108,National Institute of Medicinal Materials,NIMM,,,ptainguyen@yahoo.com
,242265,National University of Laos,FOF,Dongdok campus,,p.souladeth@nuol.edu.la
,160656,Macedonian Museum of Natural History,HMMNH,,,oliveramatevska@yahoo.com
,174825,Museum d'histoire naturelle de Nîmes,NIM,,,museum@ville-nimes.fr
,249022,Museums of Montbéliard,MMH,,,musees@montbeliard.com
,162605,"Musée Vert, muséum d'histoire naturelle du Mans",LMS,,,musee.vert@ville-lemans.fr
,245460,Inyo National Forest,INF,,,mslaton02@fs.fed.us
,176104,Federal University of Tocantins,CCCR,Prédio de Coleções,,moraispb@uft.edu.br
,173778,Joshua Tree National Park,JOTR,,,Mitzi_Harding@nps.gov
,176101,Malaysian Agricultural Research and Development Institute (MARDI),MDI,Strategic Resources Research Centre,"Agricultural Seed Genebank Complex, MARDI Headquarters, Persiaran MARDI-UPM",mfaizal@mardi.gov.my
,225183,Berry College,BCH,,,mcipollini@berry.edu
,226012,Chiang Mai University,CMUB,Faculty of Science,Department of Biology,maxcmuherbarium@hotmail.com
,156512,Universidad de la Amazonia,HUAZ,,,maureliocorream@uniamazonia.edu.co
,167869,"U.S. Fish and Wildlife Service, Ventura Fish and Wildlife Office",VFWO,,,mark_elvin@fws.gov
,176599,Universidade Federal de São João del-Rei,HUFSJ,,,marcos_sobral@hotmail.com
,172743,"Universidade Federal de Sergipe, Campus Professor Alberto Carvalho",ISE,,Departamento de Biociências,marcela.caceres@pq.cnpq.br
,251180,Alabama Agricultural and Mechanical University,AAMU,146 ARC Bldg,,luben.dimov@aamu.edu
,158083,Grootfontein Agricultural Development Institute,GADI,,,LoraineVDB@nda.agric.za
,243538,University of Tennessee at Martin,UTM,,,lkruege1@utm.edu
,161732,Samford University,SAMF,,,ljdavenp@samford.edu
,243442,Musée Anne de Beaujeu,MAB,,,leyoudec.m@cg03.fr
,247147,Bennington College,BENN,,,Kwoods@bennington.edu
,176905,Charleston Southern University,CSUNIV,,,kjones@csuniv.edu
,245551,Kamchatka Branch of Pacific Geographical Institute (KB PGI) FEB RAS,KAM,,,kamchatika@mail.ru
,160397,Universidad Politécnica De Cartagena,UPCT,Escuela Técnica Superior de Ingeniería Agronómica,Departamento de Producción Vegetal,juan.martinez@upct.es
,177283,Linfield College,LINCO,,,jsyring@linfield.edu
,177719,Bureau of Land Management Arcata Field Office,BLMAR,,,jswheele@blm.gov
,173059,National  Collection of Passiflora,NCP,,,johnvanderplank@yahoo.co.uk
,226507,Universiti Brunei Darussalam,UBDH,,,johan.slik@ubd.edu.bn
,243783,Arizona Western College,AWC,Science Division,,joann.chang@azwestern.edu
,247970,Nevada Department of Agriculture,NDOA,,,jknight@agri.nv.gov
,224064,Shasta-Trinity National Forest,STNF,,,jknelson@fs.fed.us
,245488,Universidade Federal do Piauí,HDELTA,,,Ivanilzaandrade@hotmail.com
,241176,John Muir National Historic Site,JOMU,,,Isabel_Ziegler@nps.gov
,164272,Institut National pour l'Etude et la Recherche Agronomique,KIP,,,inerakipopo2009@yahoo.fr
,167301,Universidade Estadual do Sudoeste da Bahia-Vitória  da Conquista,HUESBVC,,,huesbvc@uesb.edu.br
,172864,Elizabeth Winston Mize Herbarium,EWM,,,hillaryloring@yahoo.com
,248075,Instituto Venezolano de Investigaciones Científicas (IVIC),HGV,Centro de Ecología,Laboratorio de Ecología de Suelos,hgv@ivic.gob.ve
,165036,Cadi Ayyad University,MARK,,"Faculty of Sciences Semlalia, Marrakesh",herbierfssm@gmail.com
,224616,University of Comoros,HKM,,,herbierdescomores@gmail.com
,224577,University of Szczecin,SZUB,,,herbarium@univ.szczecin.pl
,225634,"Universidade Federal de São Carlos, campus Sorocaba",SORO,,,herbariosoro@gmail.com
,174005,Universidade Regional do Cariri,HCDAL,,,herbario@urca.br
,225612,Universidade Federal de Roraima,UFRR,Centro de Estudos da Biodiversidade,,herbario@ufrr.br
,241457,Fundação Universidade do Tocantins – UNITINS,HUTO,,,herbario.huto@hotmail.com
,174843,Florissant Fossil Beds National Monument,FFBNM,,,Herb_Meyer@nps.gov
,245029,Universidade Estadual Paulista,HASSI,Ciências Biológicas,Laboratório de Sistemática Vegetal,hassi.unesp@gmail.com
,226330,Technische Universität München,TUM,,,hanno.schaefer@tum.de
,224046,Department of Agricultural and Forest Sciences,SAF,,,giuseppe.venturella@unipa.it
,226161,Eastern Nevada Landscape Coalition,ENLC,,,ggust@envlc.org
,166927,Olympic National Park,OLYM,Cultural Resources,,Gay_hunter@nps.gov
,246405,Universiti Malaysia Terengganu,UMTP,School of Marine and Environmental Sciences,,gaik.ee@umt.edu.my
,248084,Centre d’Etude et de Recherche de Djibouti (CERD),HND,,Institut de Recherches Médicinales (IRM),fatouma_abdoulatif@yahoo.fr
,168586,Universidad Surcolombiana,SURCO,Programa de Ingeniería Agrícola,,Fanyllanos2009@gmail.com
,243577,Espace Pierres Folles,EPF,Jardin Botanique,,fanette_chavasse@hotmail.com
,178350,University of Maine at Machias,UMM,,,eric.jones1@maine.edu
,168323,Centre de Formation et de Recherche en Conservation Forestière,EPU,Institut Congolais pour la Conservation de la Nature,,Epulu.herbarium@gmail.com
,243446,Muséum des Volcans,AUR,,,Emmanuelle.huet@mairie-aurillac.fr
,243444,Musée Crozatier,PUY,,,emmanuel.magne@mairie-le-puy-en-velay.fr
,246599,Sohag University,SUH,Faculty of Sciences,Botany Department,"Elkordy3000@yahoo.com
Kadry3000@yahoo.com"
,167325,Boise District Bureau of Land Management,BBLM,,,Elizabeth_l_corbin@blm.gov
,151052,Estudios Fitogeográficos del Perú,AQP,,,elialinper@hotmail.com
,249016,Sayano-Shushensky State Nature Biosphere Reserve,SSHZ,,,e.shikalova@mail.ru
,241344,"Grenfell Campus, Memorial University of Newfoundland",SWGC,,,dsveshnikov@grenfell.mun.ca
,224587,Whyte Thorne Botanic Garden,HSMC,,,dm.whitethorn@gmail.com
,243579,Macquarie University Indigenous Bioresources Research Group (IBRG),IBRG,,,dharrington7773@gmail.com
,240133,Coconino National Forest Herbarium,COCAZ,,,dcrisp@fs.fed.us
,240135,University of North Carolina at Asheville,UNCA,,Department of Biology,dclarke@unca.edu
,178347,Grumeti Fund Tanzania,GFT,,,dataentry@grumeti.singita.com
,243559,Eastern New Mexico University Natural History Museum,ENMU,,,darren.pollock@enmu.edu
,243564,Musée Toulouse Lautrec d’Albi,MTL,,,conservation@museetoulouselautrec.com
,169774,Maryland Department of Natural Resources,TAWES,,,cfrye@dnr.state.md.us
,225625,Central Mindanao University,CMUH,University Museum,,"cebrem2012@gmail.com
flmacma@yahoo.com.ph"
,225637,Catholicate College,CATH,,,"cathherbarium@gmail.com
amomum@gmail.com"
,175352,Bryansk State University,BRSU,Department of Botany,,brsugerbarium@gmail.com
,247978,Sierra Pacific Industries-Forestry,SPIF,,,botany@spi-ind.com
,241526,Lewis & Clark College,LC,,,biology@lclark.edu
,167331,Centre de Recherche en Sciences Naturelles (CRSN/Lwiro),LWI,,,"bbajope@yahoo.fr
mwangaithe@yahoo.fr"
,248026,Fergusson College,FCP,,Botany Department,ashishadmirerofficus@gmail.com
,248081,Avery Island Archives,MC,,,Archives@tabasco.com
,247973,Acharya Nagarjuna University,ANUH,,Department of Botany,anu.herbarium@gmail.com
,249937,Texas Lutheran University,TLU,,,alievens@tlu.edu
,174385,Concordia College,CCMH,,,aldrich@cord.edu
,241473,Suez Canal University,SCUI,Faculty of Science,Botany Department,ahmedbanhawy@science.suez.edu.eg
,165745,Transylvania University of Brasov,BVS,,Faculty of Silviculture,adrianindreica@unitbv.ro
,249139,Centre Suisse de Recherches Scientifiques en Côte d’Ivoire,CSRS,,,Adama.bakayoko@csrs.ci
,243568,Musée de la Cour d’Or – Metz Métropole,METZ,,,aadrian@metzmetropole.fr
,246357,Reinhardt University,REH,,,aad@reinhardt.edu
,246832,Ecole Nationale Supérieure Agronomique,ENSA,,,"a.kedad@ensa.dz
s.benhouhou@ensa.dz"
,161053,Auroville Foundation,AURO,,,walter.gastmans@gmail.com
,154030,Colegio de Postgraduados,CMPH,,,
,166186,Natural Heritage Section-ALDCNR,ALNHS,State Lands Division,Natural Heritage Section,
,163434,National Aquarium of Cuba,HANC,,,"mariao@acuarionacional.cu
yusimia@acuarionacional.cu"
,155754,Centre d'Océanologie de Marseille - University of Aix-Marseille II,HCOM,,,marc.verlaque@univmed.fr
,156453,University of Hyderabad,UH,,,kssl@uohyd.ernet.in
,164307,USDA-ARS Poisonous Plant Research Lab,PPRL,,,Kermit.price@ars.usda.gov
,153260,Omsk Pedagogical Univeristy,OMSK,,"Department of Botany, Cytology and Genetics","kafbcg@ompgu.ru
stratiotes@yandex.ru
ivb64@yandex.ru"
,125668,Pennsylvania Department of Agriculture,PAM,Bureau of Plant Industry,,jeslenker@pa.gov
,174097,Conservatoire Botanique Pierre Fabre,CBPF,,,jean.gabriel.fouche@pierre-fabre.com
,163622,Jardin botanique de Talence,TAL,,,jbtalence@free.fr
,155451,Ingush State University,INGU,,Faculty of Biology,ing_gu@southnet.ru
,244694,Balaton Museum,KBM,,,info@balatonimuzeum.hu
,174677,Southern Institute of Ecology,SGN,,,hongtruongluu@yahoo.com
,153719,Natuurmuseum Nijmegen e.o.,NMNL,,,herbarium@natuurmuseum.nl
,224070,Herbarium of Geo. B. Hinton,GBH,,,gshinton@gmail.com
,170131,Guru Nanak Dev University,GNDUH,,of Department of Botanical & Environmental Sciences,gndu_botanical@hotmail.com
,177740,State Agency for Environmental Protection Saxony-Anhalt,HALN,,,frank@lau.mlu.sachsen-anhalt.de
,154374,Ivanovo State University,IVGU,,Faculty of Biology and Chemistry,floraea@mail.ru
,174674,Universidade Federal de São Carlos - campus Sorocaba,CCTS,,,fiorella@ufscar.br
,153883,Palawan State University,PPC,Biodiversity Center for Research and Conservation,,ELIASHERB@YAHOO.COM
,158988,McDaniel College,MCDNL,,,bmcmillan@mcdaniel.edu
,158600,Oklahoma City University,OCU,,,aryburn@okcu.edu
,155795,Institut National pour l'Etude et la Recherche Agronomiques,LUKI,,,angoboyilo@yahoo.fr
,177727,Astrakhan State University,AGU,,,"alaktionov@list.ru
nata11m@list.ru"
,174832,Al-Mustansiriya University,MUST,,,Yassen_h2006@yahoo.com
,172141,Seed and Plant Improvement Institute,HNPGBI,National Plant Gene Bank of Iran,,herbariumspii@yahoo.com
,173999,"Islamica Azad University, North Tehran Branch",IAUNT,,,f_sharifnia@iau-tnb.ac.ir
,177302,Kharazmi University,T,Faculty of Biological Sciences,Department of Plant Biology,ghahremaninejad@khu.ac.ir
,242279,Aksaray University,AKSU,"ASUBTAM, Campus",,mteksen@aksaray.edu.tr
,158977,Süleyman Demirel University,GUL,Science Faculty,Department of Biology,ozcelik@fef.sdu.edu.tr
,249926,Harran Üniversitesi,HARRAN,,Fen Edebiyat Fakültesi,urfabotanik@hotmail.com
,154635,Pamukkale University,PAMUH,Department of Biology,Arts & Science Faculty,odusen@pau.edu.tr
,243548,Yuzuncu Yil University,VPH,Pharmacy Faculty,,dalar.abdullah@yyu.edu.tr
,244633,Oman Botanic Garden,OBG,,,zawan.alqassabi@gmail.com
,248928,Chinese Academy of Tropical Agricultural Sciences,ATCH,,Tropical Crops Genetic Resources Institute,lwang1983@163.com
,173569,Bi Jie University,BJ,,,Luoqiang3123@126.com
,249497,HouHe National Nature Reserve,HHE,,,1016663970@qq.com
,249123,Hunan Hupingshan National Nature Reserve,HHNNR,,,1291134417@qq.com
,226115,Hunan Hupingshan National Nature Reserve,HNHPS,,,hunanhupingshan@163.com
,177289,"Institute of Geology and Geophysics, Chinese Academy of Sciences",IGGDC,,,prioual@mail.igcas.ac.cn
,249502,Jiangsu Marine Fisheries Research Institute,JSMI,,,yanglien@live.com
,251321,Herbarium Cepullae Sinicae,NEGI,,,negi_cn@yeah.net
,251300,Shandong Drug and Food Vocational College,SDFH,,,
,249001,Shanxi College of Traditional Chinese Medicine,TY,,,jie6789@163.com
,154120,Hallym University,HHU,Department of Life Science,,ydkim@hallym.ac.kr
,165051,"National Institute of Horticultural and Herbal Science, RDA",NIHHS,,,parkcb@korea.kr
,164280,Semyung University,NMR,,Department Natural Medicine Resources,idec5974@semyung.ac.kr
,226551,Seoul National University,SFC,College of Natural Sciences,,ywlim@snu.ac.kr
,154357,Sungshin Women's University,SWU,,,amborella@sungshin.ac.kr
,124081,Botanical Institute of the Tajikistan Academy of Sciences,TAD,,Department of Flora and Systematics of Higher Plants,
,124801,I. I. Mecynikov State University of Odessa,MSUD,,Department of Morphology and Systematics of Plants,
,125282,Mithila University,DMU,,Botany Department,
,124873,Institut Fondamental d'Afrique Noire,IFAN,,,
,124405,"Desert Institute, Turkmenistan Academy of Sciences",RSDR,Repetek Sandy Desert Reserve,,
,124540,Forest Research and Development Center and Nature Conservation,BZF,Division of Forest Service of Indonesia,,
,126541,Université de Tunis,TUN,Faculté des Sciences,Laboratoire de Biologie Végétale,
,126598,University of Baghdad,BUNH,Iraq Natural History Research Centre and Museum,,
